"Regions";"euro"
"Groningen (PV)";"313679"
"Fryslân (PV)";"323765"
"Drenthe (PV)";"349757"
"Overijssel (PV)";"365733"
"Flevoland (PV)";"394736"
"Gelderland (PV)";"413316"
"Utrecht (PV)";"476555"
"Noord-Holland (PV)";"507271"
"Zuid-Holland (PV)";"410408"
"Zeeland (PV)";"328452"
"Noord-Brabant (PV)";"418547"
"Limburg (PV)";"329001"
"Arnhem";"369114"
"Assen";"334100"
"'s-Gravenhage (municipality)";"413689"
"Groningen (municipality)";"349931"
"Haarlem";"507289"
"'s-Hertogenbosch";"443955"
"Leeuwarden";"294731"
"Lelystad";"372216"
"Maastricht";"374547"
"Middelburg (Z.)";"345346"
"Utrecht (municipality)";"474406"
"Zwolle";"410024"
